"id","lon","lat"
"89a8a02114bffff",-43.7013000444472,-22.9617920254008
"89a8a02114fffff",-43.704332607703,-22.9601589544792
"89a8a021153ffff",-43.7044855177634,-22.9663550711945
"89a8a021157ffff",-43.7075180853011,-22.9647220220043
"89a8a02115bffff",-43.7013764846947,-22.9648900867791
"89a8a0211c3ffff",-43.7076710269046,-22.9709177965931
"89a8a0211c7ffff",-43.7107035984192,-22.9692847692256
"89a8a0211cbffff",-43.704561973866,-22.969452961605
"89a8a0211cfffff",-43.7075945557213,-22.9678199653285
"89a8a0211d3ffff",-43.7077474990487,-22.9740155158958
"89a8a0211d7ffff",-43.7107800847097,-22.9723825415612
"89a8a0211dbffff",-43.7046384308271,-22.972550740028
"89a8a021223ffff",-43.6766570350345,-22.9593637031231
"89a8a021227ffff",-43.6796897239234,-22.9577310382688
"89a8a02122bffff",-43.6735480159437,-22.9578980265095
"89a8a02122fffff",-43.6765807145796,-22.9562653926992
"89a8a021267ffff",-43.6704390012983,-22.9564322597922
"89a8a02126fffff",-43.6673299918236,-22.9549664033239
"89a8a021283ffff",-43.6739295538259,-22.9733881944098
"89a8a021287ffff",-43.6769623245518,-22.9717558250709
"89a8a02128bffff",-43.6708204634462,-22.971922722958
"89a8a021293ffff",-43.6740058634186,-22.9764858919122
"89a8a021297ffff",-43.677038648882,-22.9748535754221
"89a8a02129bffff",-43.6708967581977,-22.9750204798127
"89a8a0212a3ffff",-43.6799187330943,-22.9670254564034
"89a8a0212a7ffff",-43.6829514404645,-22.9653928662885
"89a8a0212b3ffff",-43.6799950710816,-22.970123371829
"89a8a0212b7ffff",-43.6830277927569,-22.9684908347519
"89a8a0212bbffff",-43.6768860010969,-22.9686579623396
"89a8a0212c3ffff",-43.6646785623984,-22.9720893851583
"89a8a0212cfffff",-43.6646022981557,-22.9689915102732
"89a8a0212d3ffff",-43.6647548275982,-22.975187148022
"89a8a0212d7ffff",-43.6677876577718,-22.9735549775199
"89a8a0212dbffff",-43.6616457222403,-22.9737215247402
"89a8a021303ffff",-43.6918966255046,-22.9542980041623
"89a8a02130bffff",-43.688787642178,-22.9528325414967
"89a8a021313ffff",-43.6919730197048,-22.9573963548184
"89a8a021317ffff",-43.6950056140316,-22.955763376935
"89a8a02131bffff",-43.688864021041,-22.9559309512325
"89a8a021323ffff",-43.6978853383309,-22.9479332906438
"89a8a02132bffff",-43.6947763907263,-22.9464678307891
"89a8a021333ffff",-43.6979617605937,-22.9510318587088
"89a8a021343ffff",-43.6826460385685,-22.9529998739374
"89a8a02134bffff",-43.6795370547936,-22.9515342001185
"89a8a02134fffff",-43.6825696899973,-22.9499013459435
"89a8a021353ffff",-43.6827223879496,-22.956098289898
"89a8a021357ffff",-43.6857550272957,-22.9544654575651
"89a8a02135bffff",-43.6796133889331,-22.9546326753335
"89a8a021363ffff",-43.6886348865979,-22.9466353862829
"89a8a021367ffff",-43.6916674478931,-22.9450022808131
"89a8a02136bffff",-43.6855259382817,-22.9451697155176
"89a8a02136fffff",-43.6885585100089,-22.9435366411238
"89a8a021373ffff",-43.6887112639408,-22.949734019871
"89a8a02137bffff",-43.6856023005054,-22.9482684080063
"89a8a021383ffff",-43.6951584330405,-22.9619598480319
"89a8a021387ffff",-43.6981910314367,-22.9603268920297
"89a8a02138bffff",-43.6920494144517,-22.9604945936378
"89a8a02138fffff",-43.6950820231575,-22.9588616683722
"89a8a021393ffff",-43.6952348436921,-22.9650579159003
"89a8a021397ffff",-43.6982674565535,-22.9634250125056
"89a8a02139bffff",-43.6921258098531,-22.9635927205312
"89a8a0213a3ffff",-43.7011471661623,-22.9555955667542
"89a8a0213afffff",-43.7010707281794,-22.9524971695481
"89a8a0213b3ffff",-43.7012236049694,-22.9586938520756
"89a8a0213b7ffff",-43.7042561538693,-22.9570607283126
"89a8a0213c3ffff",-43.6859077571278,-22.9606620595266
"89a8a0213c7ffff",-43.6889404005942,-22.9590292491314
"89a8a0213cbffff",-43.6827987380259,-22.9591965938891
"89a8a0213cfffff",-43.6858313918755,-22.957563814523
"89a8a0213d3ffff",-43.6859841230426,-22.9637601926683
"89a8a0213d7ffff",-43.6890167810973,-22.9621274350041
"89a8a021463ffff",-43.6897042380176,-22.9900060704792
"89a8a02146fffff",-43.6896278508327,-22.9869088924502
