"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2015-09-04;"SPPO";3705103
2015-09-05;"SPPO";2248315
2015-09-06;"SPPO";1490474
2015-09-07;"SPPO";1520020
2015-09-08;"SPPO";3678886
2015-09-09;"SPPO";3674384
2015-09-10;"SPPO";3762828
2015-09-11;"SPPO";3564850
2015-09-12;"SPPO";2267598
2015-09-13;"SPPO";1350340
2015-09-14;"SPPO";3608474
2015-09-15;"SPPO";3719021
2015-09-16;"SPPO";3686130
2015-09-17;"SPPO";3690923
2015-09-18;"SPPO";3648144
2015-09-19;"SPPO";2380757
2015-09-20;"SPPO";1597623
2015-09-21;"SPPO";3586028
2015-09-22;"SPPO";3653264
2015-09-23;"SPPO";3633591
2015-09-24;"SPPO";3627618
2015-09-25;"SPPO";3593571
2015-09-26;"SPPO";2260238
2015-09-27;"SPPO";1487702
2015-09-28;"SPPO";3461707
2015-09-29;"SPPO";3609961
2015-09-30;"SPPO";3626043
2015-10-01;"SPPO";3766408
2015-10-02;"SPPO";3825623
2015-10-03;"SPPO";2361319
2015-10-04;"SPPO";1448966
2015-10-05;"SPPO";3731121
2015-10-06;"SPPO";3840755
2015-10-07;"SPPO";3796665
2015-10-08;"SPPO";3723529
2015-10-09;"SPPO";3713357
2015-10-10;"SPPO";2423842
2015-10-11;"SPPO";1627548
2015-10-12;"SPPO";1657143
2015-10-13;"SPPO";3679130
2015-10-14;"SPPO";3708565
2015-10-15;"SPPO";3408449
2015-10-16;"SPPO";3522956
2015-10-17;"SPPO";2337978
2015-10-18;"SPPO";1439528
2015-10-19;"SPPO";2856553
2015-10-20;"SPPO";3829377
2015-10-21;"SPPO";3691447
2015-10-22;"SPPO";3679393
2015-10-23;"SPPO";3687153
2015-10-24;"SPPO";2308856
2015-10-25;"SPPO";1496997
2015-10-26;"SPPO";3658568
2015-10-27;"SPPO";3763435
2015-10-28;"SPPO";3747247
2015-10-29;"SPPO";3725966
2015-10-30;"SPPO";3319582
2015-10-31;"SPPO";2396298
2015-11-01;"SPPO";1559180
2015-11-02;"SPPO";1502006
2015-11-03;"SPPO";3763046
2015-11-04;"SPPO";3867924
2015-11-05;"SPPO";3879058
2015-11-06;"SPPO";3827851
2015-11-07;"SPPO";2334264
2015-11-08;"SPPO";1461401
2015-11-09;"SPPO";3814042
2015-11-10;"SPPO";3892580
2015-11-11;"SPPO";3849262
2015-11-12;"SPPO";3826900
2015-11-13;"SPPO";3827519
2015-11-14;"SPPO";2444948
2015-11-15;"SPPO";1501561
2015-11-16;"SPPO";3716958
2015-11-17;"SPPO";3799797
2015-11-18;"SPPO";3697739
2015-11-19;"SPPO";3731074
2015-11-20;"SPPO";1802444
2015-11-21;"SPPO";1989885
2015-11-22;"SPPO";1468632
2015-11-23;"SPPO";3402451
2015-11-24;"SPPO";3616303
2015-11-25;"SPPO";3612315
2015-11-26;"SPPO";3602731
2015-11-27;"SPPO";3653718
2015-11-28;"SPPO";2375624
2015-11-29;"SPPO";1430404
2015-11-30;"SPPO";3390651
2015-12-01;"SPPO";3767015
2015-12-02;"SPPO";3769290
2015-12-03;"SPPO";3689494
2015-12-04;"SPPO";3780349
2015-12-05;"SPPO";2506612
2015-12-06;"SPPO";1586449
2015-12-07;"SPPO";3545419
2015-12-08;"SPPO";3723408
2015-12-09;"SPPO";3728791
2015-12-10;"SPPO";3715681
2015-12-11;"SPPO";3668171
2015-12-12;"SPPO";2448899
2015-12-13;"SPPO";1628056
2015-12-14;"SPPO";3570489
2015-12-15;"SPPO";3591371
2015-12-16;"SPPO";3555377
2015-12-17;"SPPO";3552510
2015-12-18;"SPPO";3591254
2015-12-19;"SPPO";2513058
2015-12-20;"SPPO";1753900
2015-12-21;"SPPO";3357522
2015-12-22;"SPPO";3375454
2015-12-23;"SPPO";3277928
2015-12-24;"SPPO";2034296
2015-12-25;"SPPO";1105621
2015-12-26;"SPPO";1934964
2015-12-27;"SPPO";1513129
2015-12-28;"SPPO";2952578
2015-12-29;"SPPO";2979064
2015-12-30;"SPPO";2922932
2015-12-31;"SPPO";2110356
2016-01-01;"SPPO";1140373
2016-01-02;"SPPO";1627204
2016-01-03;"SPPO";1283818
2016-01-04;"SPPO";3047613
2016-01-05;"SPPO";3199645
2016-01-06;"SPPO";3236697
2016-01-07;"SPPO";3261803
2016-01-08;"SPPO";3308326
2016-01-09;"SPPO";2268139
2016-01-10;"SPPO";1572957
2016-01-11;"SPPO";3209548
2016-01-12;"SPPO";3203413
2016-01-13;"SPPO";3226941
2016-01-14;"SPPO";3176695
2016-01-15;"SPPO";3126394
2016-01-16;"SPPO";2018598
2016-01-17;"SPPO";1450751
2016-01-18;"SPPO";3184912
2016-01-19;"SPPO";3026442
2016-01-20;"SPPO";1589575
2016-01-21;"SPPO";3121298
2016-01-22;"SPPO";3067639
2016-01-23;"SPPO";2146316
2016-01-24;"SPPO";1486306
2016-01-25;"SPPO";3184223
2016-01-26;"SPPO";3232925
2016-01-27;"SPPO";3236360
2016-01-28;"SPPO";3118323
2016-01-29;"SPPO";3270554
2016-01-30;"SPPO";2289607
2016-01-31;"SPPO";1650758
2016-02-01;"SPPO";3406811
2016-02-02;"SPPO";3536120
2016-02-03;"SPPO";3517359
2016-02-04;"SPPO";3498738
2016-02-05;"SPPO";3229903
2016-02-06;"SPPO";2069807
2016-02-07;"SPPO";1488135
2016-02-08;"SPPO";1675225
2016-02-09;"SPPO";1471938
2016-02-10;"SPPO";2012344
2016-02-11;"SPPO";3044861
2016-02-12;"SPPO";3181294
2016-02-13;"SPPO";2257447
2016-02-14;"SPPO";1556202
2016-02-15;"SPPO";3605168
2016-02-16;"SPPO";3636131
2016-02-17;"SPPO";3573336
2016-02-18;"SPPO";3577769
