"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2015-10-06;"BRT";814230
2015-10-07;"BRT";817607
2015-10-08;"BRT";823969
2015-10-09;"BRT";818113
2015-10-10;"BRT";530928
2015-10-11;"BRT";343223
2015-10-12;"BRT";362125
2015-10-13;"BRT";788320
2015-10-14;"BRT";796930
2015-10-15;"BRT";756955
2015-10-16;"BRT";782916
2015-10-17;"BRT";509430
2015-10-18;"BRT";284564
2015-10-19;"BRT";541995
2015-10-20;"BRT";800114
2015-10-21;"BRT";789180
2015-10-22;"BRT";780689
2015-10-23;"BRT";787729
2015-10-24;"BRT";492858
2015-10-25;"BRT";300184
2015-10-26;"BRT";763373
2015-10-27;"BRT";788722
2015-10-28;"BRT";785654
2015-10-29;"BRT";789838
2015-10-30;"BRT";745908
2015-10-31;"BRT";488917
2015-11-01;"BRT";318026
2015-11-02;"BRT";312253
2015-11-03;"BRT";808743
2015-11-04;"BRT";835920
2015-11-05;"BRT";838523
2015-11-06;"BRT";834280
2015-11-07;"BRT";512672
2015-11-08;"BRT";302882
2015-11-09;"BRT";810669
2015-11-10;"BRT";838497
2015-11-11;"BRT";829962
2015-11-12;"BRT";825881
2015-11-13;"BRT";834469
2015-11-14;"BRT";538728
2015-11-15;"BRT";312457
2015-11-16;"BRT";795633
2015-11-17;"BRT";822073
2015-11-18;"BRT";793657
2015-11-19;"BRT";800645
2015-11-20;"BRT";368710
2015-11-21;"BRT";408030
2015-11-22;"BRT";284238
2015-11-23;"BRT";672352
2015-11-24;"BRT";765897
2015-11-25;"BRT";770331
2015-11-26;"BRT";777038
2015-11-27;"BRT";799423
2015-11-28;"BRT";529437
2015-11-29;"BRT";311331
2015-11-30;"BRT";726296
2015-12-01;"BRT";799804
2015-12-02;"BRT";805709
2015-12-03;"BRT";800859
2015-12-04;"BRT";812067
2015-12-05;"BRT";548273
2015-12-06;"BRT";320592
2015-12-07;"BRT";754096
2015-12-08;"BRT";798602
2015-12-09;"BRT";803468
2015-12-10;"BRT";793027
2015-12-11;"BRT";792334
2015-12-12;"BRT";540750
2015-12-13;"BRT";336409
2015-12-14;"BRT";758465
2015-12-15;"BRT";777550
2015-12-16;"BRT";768645
2015-12-17;"BRT";772407
2015-12-18;"BRT";783393
2015-12-19;"BRT";560295
2015-12-20;"BRT";363923
2015-12-21;"BRT";741380
2015-12-22;"BRT";744486
2015-12-23;"BRT";725433
2015-12-24;"BRT";437079
2015-12-25;"BRT";235027
2015-12-26;"BRT";425225
2015-12-27;"BRT";322650
2015-12-28;"BRT";639449
2015-12-29;"BRT";633502
2015-12-30;"BRT";633306
2015-12-31;"BRT";427741
2016-01-01;"BRT";231494
2016-01-02;"BRT";304759
2016-01-03;"BRT";232949
2016-01-04;"BRT";608871
2016-01-05;"BRT";645122
2016-01-06;"BRT";657438
2016-01-07;"BRT";665154
2016-01-08;"BRT";676496
2016-01-09;"BRT";464539
2016-01-10;"BRT";306402
2016-01-11;"BRT";643598
2016-01-12;"BRT";634530
2016-01-13;"BRT";651997
2016-01-14;"BRT";638614
2016-01-15;"BRT";651907
2016-01-16;"BRT";401889
2016-01-17;"BRT";256312
2016-01-18;"BRT";632861
2016-01-19;"BRT";614164
2016-01-20;"BRT";301892
2016-01-21;"BRT";631117
2016-01-22;"BRT";625080
2016-01-23;"BRT";424546
2016-01-24;"BRT";270199
2016-01-25;"BRT";642186
2016-01-26;"BRT";660603
2016-01-27;"BRT";662842
2016-01-28;"BRT";643287
2016-01-29;"BRT";674611
2016-01-30;"BRT";462150
2016-01-31;"BRT";299200
2016-02-01;"BRT";685533
2016-02-02;"BRT";744992
2016-02-03;"BRT";753538
2016-02-04;"BRT";746163
2016-02-05;"BRT";719686
2016-02-06;"BRT";442498
2016-02-07;"BRT";301664
2016-02-08;"BRT";368957
2016-02-09;"BRT";315640
2016-02-10;"BRT";418045
2016-02-11;"BRT";645190
2016-02-12;"BRT";682294
2016-02-13;"BRT";480364
2016-02-14;"BRT";298270
2016-02-15;"BRT";763108
2016-02-16;"BRT";763737
2016-02-17;"BRT";757271
2016-02-18;"BRT";749021
2016-02-19;"BRT";763423
2016-02-20;"BRT";477235
2016-02-21;"BRT";282534
2016-02-22;"BRT";750982
2016-02-23;"BRT";758228
2016-02-24;"BRT";763486
2016-02-25;"BRT";744948
2016-02-26;"BRT";764987
2016-02-27;"BRT";470566
2016-02-28;"BRT";290735
2016-02-29;"BRT";708760
2016-03-01;"BRT";741347
2016-03-02;"BRT";774725
2016-03-03;"BRT";777213
2016-03-04;"BRT";784962
2016-03-05;"BRT";501568
2016-03-06;"BRT";304826
2016-03-07;"BRT";767283
2016-03-08;"BRT";784139
2016-03-09;"BRT";772976
2016-03-10;"BRT";783123
2016-03-11;"BRT";769024
2016-03-12;"BRT";484173
